time,acceleration,activity
208.421,-1.171,unknown
1519.551,0.1658,walk
2634.841,-2.5454,unknown
3305.561,-3.1759,walk
53.091,-1.4473,unknown
2196.321,-2.7382,walk
1235.561,-4.669,walk
3747.281,-2.9145,walk
136.421,-1.2236,unknown
1477.621,-3.2834,walk
3772.431,-2.6826,unknown
2301.581,-0.3594,walk
1475.511,-4.3318,walk
2281.591,-1.7114,walk
2112.881,-2.3097,walk
3331.911,-4.5018,walk
1363.781,-2.2906,walk
1497.531,-3.392,walk
885.851,-2.8675,unknown
3533.051,-3.5185,walk
2234.301,-0.367,walk
2020.181,-0.5055,walk
2843.601,-0.0634,walk
1005.541,-1.5424,walk
2792.661,-3.8433,walk
641.211,-3.0061,unknown
3304.421,-4.478,walk
2777.981,-8.229,trot
554.651,-2.5665,unknown
3333.281,-2.5632,walk
1876.191,-2.7313,unknown
1829.301,-2.7922,unknown
836.351,-2.5399,unknown
2700.821,-3.0243,walk
2006.751,-2.6532,unknown
2357.251,-3.2945,walk
976.591,-4.718,walk
3673.311,-4.284,walk
670.001,-2.8113,unknown
483.311,-1.7026,unknown
626.511,-2.0283,unknown
3264.931,-4.0951,unknown
572.321,-2.8391,unknown
3244.621,-3.6216,walk
2192.751,-3.0264,walk
2645.931,-2.911,unknown
2577.111,-5.4888,walk
1416.781,-1.9011,walk
247.901,-1.248,unknown
1188.991,-1.365,walk
2592.881,-1.1015,walk
2790.961,0.7896,walk
3302.401,-2.6003,walk
1760.791,-3.2555,walk
497.021,-0.792,unknown
2556.631,-2.3052,walk
2015.891,-4.9207,walk
2421.691,-2.1295,walk
1264.921,-4.356,walk
2094.021,-4.4202,walk
1566.291,-1.1871,trot
2173.011,-4.3719,walk
2917.541,-1.3065,walk
2538.931,-5.2814,walk
3414.481,-4.0766,unknown
2843.731,-3.9119,walk
3782.181,-2.7722,unknown
2421.541,-5.5532,walk
1490.541,-2.8964,walk
1234.711,-0.5399,walk
2540.491,-8.3541,walk
2333.071,-1.7089,walk
1382.261,-2.4028,walk
215.541,-1.2736,unknown
2603.041,-3.6417,walk
3698.741,-4.6206,walk
2884.231,-3.0956,walk
823.461,-2.273,unknown
600.881,-3.0951,unknown
3401.731,-2.8091,unknown
3748.741,-3.4696,walk
1549.901,-9.9315,trot
1697.141,-3.5789,walk
994.361,-3.4911,walk
2508.691,-3.5606,walk
1416.311,-0.4692,walk
3685.111,-2.508,walk
2919.951,-1.8862,walk
470.511,-1.5673,unknown
1894.641,-2.1122,unknown
3867.281,-1.3447,unknown
1755.451,-5.6043,walk
3530.751,-2.5114,walk
307.191,-1.512,unknown
323.491,-1.0982,unknown
3045.941,-2.9117,walk
2667.481,-1.9405,walk
788.231,-2.8876,unknown
1519.831,-2.0837,walk
626.871,-2.697,unknown
497.061,-1.2263,unknown
1016.061,-3.7714,walk
1138.161,-3.0643,walk
2468.831,-0.7766,walk
2596.831,-3.8843,walk
2203.651,-1.8233,walk
1131.251,-4.2187,walk
2340.931,-0.2869,walk
2271.631,-1.9364,walk
2993.251,-1.6724,walk
3039.931,-3.0751,walk
3163.481,-4.5195,walk
2703.721,-4.2197,walk
2613.981,1.6151,walk
669.691,-2.952,unknown
1415.701,-4.2523,walk
111.531,-0.9165,unknown
1272.341,-2.8008,walk
1669.241,-2.762,walk
1675.381,-3.7478,walk
3528.581,-3.8629,walk
859.241,-2.8921,unknown
532.521,-0.1038,unknown
3736.261,-5.0008,walk
3593.271,-3.4099,walk
1790.251,-3.0004,unknown
1719.481,-2.252,walk
3222.491,-2.3231,walk
2478.701,-4.0733,walk
3307.031,-0.8088,walk
697.601,-2.9129,unknown
2874.141,-8.9421,trot
2335.181,-0.9328,walk
3240.681,-2.1196,walk
2177.671,-0.8806,walk
1357.151,-2.5162,walk
3643.321,-4.0001,walk
2554.891,-0.826,walk
3868.881,-1.6392,unknown
2114.531,-1.4751,walk
2765.651,3.0099,unknown
3881.861,-1.3198,unknown
636.841,-3.0111,unknown
2327.051,-1.6602,walk
3265.091,-3.4256,unknown
78.771,-1.5642,unknown
146.441,-1.5286,unknown
253.001,-1.1812,unknown
142.641,-1.3536,unknown
1514.671,6.3028,trot
2328.901,-1.0153,walk
393.041,-5.6703,unknown
985.401,-1.7974,walk
970.921,-1.536,walk
175.541,-1.4016,unknown
1250.111,-2.9972,walk
1665.541,-2.0386,walk
324.981,-0.8087,unknown
2328.071,-2.56,walk
2186.971,-2.9873,walk
1237.681,-1.8151,walk
1979.111,-2.7401,unknown
1959.041,-2.6916,unknown
2819.971,1.2584,trot
3084.391,-2.2475,walk
2116.231,-3.9976,walk
1359.521,-2.3732,walk
2720.641,-0.5158,walk
3707.161,-3.0253,walk
3314.731,-2.6914,walk
2005.081,-2.87,unknown
2179.911,-1.8867,walk
651.621,-2.6989,unknown
1711.981,-1.6476,walk
3824.911,-1.7373,unknown
1564.031,-8.9655,trot
3857.501,-1.675,unknown
3711.131,-4.178,walk
2589.351,-3.683,walk
102.741,-1.8461,unknown
3474.591,-4.2425,unknown
3156.751,0.6905,unknown
3629.891,-2.422,walk
3158.401,6.1378,unknown
2409.241,-2.1029,walk
771.301,-2.8803,unknown
1764.361,-1.3686,walk
39.451,-1.1203,unknown
3667.821,-5.2276,walk
1820.391,-2.5354,unknown
1132.061,-1.4165,walk
828.551,-2.8986,unknown
871.251,-3.0976,unknown
3739.011,-5.2154,walk
931.751,-1.6292,walk
2426.701,-0.6207,walk
382.241,1.2873,unknown
3039.421,-0.5565,walk
902.691,-1.3744,unknown
2237.161,-2.5649,walk
3071.881,-5.0436,walk
3104.501,-3.7734,walk
2716.101,1.1683,walk
3486.681,-4.9425,unknown
618.311,-3.0805,unknown
1466.111,-4.5199,walk
1307.421,-3.2049,walk
3822.471,9.3881,unknown
2176.681,-5.2689,walk
2849.571,-2.9687,walk
1374.861,-3.0717,walk
2290.081,-2.3534,walk
1036.021,-3.0056,walk
3439.671,-2.8982,walk
13.071,-0.4891,unknown
3373.341,-2.7029,walk
2850.481,-4.7193,walk
2629.651,0.1957,walk
2722.051,-4.3725,walk
2583.961,3.22,walk
2152.711,-3.8678,walk
2741.491,-5.0007,unknown
2389.441,-4.3221,walk
488.671,-1.2081,unknown
2013.571,-4.5033,walk
3184.011,-0.1318,walk
3297.851,-5.9896,unknown
3769.391,-2.1876,unknown
1432.441,-2.346,walk
2093.251,-2.077,walk
1503.051,0.0752,walk
2110.461,-3.3782,walk
1088.581,-1.5282,walk
1414.391,-1.8626,walk
3410.331,1.5672,unknown
3763.741,-3.1942,unknown
823.501,-2.5885,unknown
501.021,-1.071,unknown
843.631,-3.3229,unknown
1401.641,-0.4094,walk
3821.441,-4.9854,unknown
677.731,-3.0151,unknown
706.211,-2.921,unknown
1061.371,-4.9754,walk
896.141,-2.7088,unknown
2784.201,-8.4171,trot
1035.441,-4.7791,walk
3803.641,-2.9471,unknown
370.501,-2.7926,unknown
2693.431,2.0208,walk
1996.611,-2.7732,unknown
2149.581,-3.9279,walk
3053.611,-4.2163,walk
2414.681,-3.1439,walk
3283.131,-1.7097,walk
3810.731,-2.7831,unknown
1512.901,-3.1116,trot
2376.291,-4.1102,walk
1685.481,-1.0892,walk
1997.791,-2.8488,unknown
1244.111,-4.401,walk
1289.881,-3.1979,walk
1375.471,-2.5905,walk
2284.531,-3.0766,walk
2946.861,0.8965,unknown
870.531,-2.8743,unknown
2110.441,-2.8544,walk
3244.001,-1.9606,walk
2782.881,-0.5501,trot
2423.511,-2.3158,walk
2603.361,-4.3921,walk
2273.521,-4.6451,walk
1601.901,0.8327,trot
2797.631,-0.2999,walk
239.791,-1.8898,unknown
3457.191,-2.0514,walk
1173.061,-5.5666,walk
3018.701,-4.2079,walk
2925.401,-4.6886,walk
1976.631,-2.6787,unknown
3856.601,-1.2241,unknown
2222.341,-3.6353,walk
582.681,-2.269,unknown
2767.901,-4.7193,walk
1878.241,-2.7323,unknown
3621.641,-9.4343,trot
611.411,-2.7366,unknown
1999.481,-2.8988,unknown
1112.931,-2.9048,walk
3222.091,-1.6129,walk
2510.841,-2.3276,walk
299.831,-3.331,unknown
1433.251,-1.4045,walk
1386.781,-2.7926,walk
2632.571,-5.5589,walk
3813.241,-2.9181,unknown
577.481,-3.7187,unknown
1928.611,-2.8061,unknown
2568.211,-3.405,walk
1521.401,1.9114,walk
2369.541,-3.2314,walk
2014.881,-4.8744,walk
1279.451,-2.0077,walk
1779.281,-1.2143,walk
940.771,-4.9772,walk
1964.511,-2.7298,unknown
1073.201,-1.8896,walk
675.101,-2.9827,unknown
3419.091,-1.455,unknown
474.701,-0.5936,unknown
260.511,-2.4853,unknown
744.781,-2.9145,unknown
821.261,-2.5603,unknown
1294.931,-3.9979,walk
1162.731,-1.0698,walk
2806.121,-1.0044,walk
358.961,-3.1297,unknown
2090.291,-4.0216,walk
554.301,-2.358,unknown
1328.231,-2.5064,walk
3306.011,-3.8705,walk
1102.001,-1.6475,walk
3382.321,-1.7604,walk
2226.271,-4.3659,walk
1525.771,-3.625,walk
2635.341,-3.2687,unknown
231.431,-1.3381,unknown
319.741,-0.3487,unknown
2100.051,-4.006,walk
3190.881,-0.4137,walk
2090.381,-2.3259,walk
2815.391,-9.6213,trot
3003.381,-3.7522,walk
3879.921,-1.3186,unknown
326.201,-1.2819,unknown
568.051,-2.6537,unknown
3126.441,-5.3729,walk
3002.891,-3.1773,walk
2622.941,-0.0126,walk
2989.201,-1.6569,walk
3884.771,-1.3886,unknown
1448.071,-3.8358,walk
2222.181,-3.635,walk
1948.031,-2.7321,unknown
2851.061,-0.9874,walk
3413.591,-3.0887,unknown
1101.081,-1.8039,walk
2727.111,-2.6191,walk
2764.781,0.3498,unknown
3486.221,-0.9955,unknown
2695.591,-2.6095,walk
2071.431,-1.6098,walk
3818.211,-2.8969,unknown
1136.831,0.3833,walk
2816.031,-1.44,trot
1222.681,-3.9981,walk
3157.561,3.3032,unknown
1157.241,-0.0543,walk
1885.861,-2.7596,unknown
2243.641,-3.1927,walk
1470.101,-2.8917,walk
432.541,-1.5933,unknown
3531.471,-2.4932,walk
3841.571,-1.5017,unknown
2706.281,-0.6765,walk
3384.031,-4.1,walk
980.031,-3.8646,stand
522.681,-1.2983,unknown
634.071,-3.0034,unknown
2506.791,-3.3502,walk
735.821,-2.8673,unknown
2166.381,-2.9478,walk
2200.301,-2.5001,walk
3844.551,-1.5072,unknown
3127.451,-2.5976,walk
1969.491,-2.7944,unknown
3853.761,-1.3347,unknown
451.921,-1.6076,unknown
1299.621,-3.1628,walk
2966.091,-2.4202,trot
1656.851,-4.7289,walk
1774.011,-3.6047,walk
350.681,-1.5706,unknown
1694.151,-3.4531,walk
1608.351,9.4284,trot
3449.591,-1.1926,walk
846.901,-2.9311,unknown
2754.831,-0.0734,trot
461.391,-1.0334,unknown
1881.571,-2.7531,unknown
1205.001,-3.6263,walk
2165.431,-3.8768,walk
377.771,6.4409,unknown
2900.191,-3.1148,walk
2152.861,-3.0919,walk
587.281,-2.934,unknown
1457.071,-3.2656,walk
3059.021,-2.8877,walk
3598.231,-3.7201,walk
3358.301,-2.9202,walk
1045.261,-6.58,walk
3122.671,-4.2651,walk
1734.051,-5.3828,walk
682.341,-2.899,unknown
892.251,-2.9688,unknown
2212.411,-1.7595,walk
3379.641,-4.8574,walk
2183.081,-3.2333,walk
1710.941,-1.4237,walk
2276.501,-1.6174,walk
3264.721,-2.4076,unknown
1416.191,-4.1523,walk
392.761,1.3991,unknown
981.691,-2.9286,stand
3089.691,-4.281,walk
2715.111,-2.8563,walk
2239.411,-3.6055,walk
1704.231,-5.5432,walk
533.321,-2.8434,unknown
519.011,-1.8355,unknown
3104.971,-3.1652,walk
3653.801,-2.521,walk
201.511,-1.2054,unknown
3673.481,-2.9003,walk
721.961,-2.9358,unknown
3294.211,-0.6217,walk
243.451,-1.1081,unknown
3115.301,-6.3329,trot
3592.111,-1.9046,walk
1588.861,-2.3161,trot
3163.821,-2.5078,walk
1953.491,-2.7556,unknown
703.151,-2.9239,unknown
276.481,-1.2859,unknown
3852.521,-1.2914,unknown
2998.961,-1.9228,walk
71.371,-0.8092,unknown
1517.951,-5.7296,trot
2452.611,0.4752,walk
233.691,-1.3343,unknown
1132.641,-4.765,walk
3757.151,-2.4382,walk
2651.161,-2.7825,walk
3060.421,-1.0984,walk
242.251,-1.8826,unknown
1672.161,-5.653,walk
285.251,-1.2605,unknown
1969.171,-2.9308,unknown
3651.931,-2.9627,walk
578.901,-2.7276,unknown
1512.851,-2.5912,trot
130.391,-1.9002,unknown
454.161,-1.743,unknown
278.641,-1.3656,unknown
1529.911,-2.1185,walk
2709.591,-4.2138,walk
2160.511,-2.375,walk
3372.671,-2.7019,walk
3520.911,-1.3871,trot
3853.401,-1.4353,unknown
801.001,-2.9838,unknown
3748.431,-1.6135,walk
3662.651,-1.8076,walk
2234.111,-3.6406,walk
493.451,-1.2668,unknown
2423.221,-5.3227,walk
1482.011,-2.6185,walk
3542.981,-0.7652,trot
3438.611,-1.1825,walk
355.021,-3.951,unknown
2590.621,-4.3167,walk
1936.301,-2.8781,unknown
3.251,-3.9099,unknown
909.281,-3.7706,unknown
3846.321,-1.3293,unknown
2118.131,-4.1068,walk
429.081,-1.3247,unknown
1866.471,-2.7853,unknown
189.691,-1.9465,unknown
3282.521,-3.3752,walk
2236.011,-4.6432,walk
848.311,-2.8633,unknown
2982.291,-1.8906,trot
2351.641,-2.8282,walk
874.621,-2.8941,unknown
1529.461,-2.5479,walk
3059.761,-3.4329,walk
3132.821,-3.3945,walk
162.051,-2.2175,unknown
184.891,-1.3847,unknown
3567.281,-5.275,unknown
430.871,-1.4603,unknown
147.691,-1.4152,unknown
196.271,-1.354,unknown
3332.931,-4.4144,walk
126.441,-0.8869,unknown
743.321,-2.9002,unknown
534.101,-1.5941,unknown
326.191,-1.214,unknown
3356.521,-5.3954,walk
2090.431,-2.4762,walk
1004.311,-2.7122,walk
2435.131,-2.1797,walk
1696.111,0.1591,walk
1187.141,-3.3122,walk
2169.791,-2.9716,walk
975.411,-3.2388,walk
696.641,-2.9423,unknown
2509.441,-3.649,walk
1413.451,-2.6804,walk
1999.751,-2.7628,unknown
2935.411,-1.4412,unknown
3609.771,-7.9836,unknown
3103.771,-4.4073,walk
1344.291,-3.1284,walk
2341.761,-3.8001,walk
38.261,-0.7079,unknown
587.521,-3.0801,unknown
2999.571,-3.6255,walk
3057.331,-2.1224,walk
2090.901,-4.7424,walk
3876.171,-1.2298,unknown
178.351,-2.1641,unknown
3085.551,-2.1125,walk
2576.791,-4.1644,walk
125.271,-0.9667,unknown
1006.171,-0.0227,walk
1736.221,-4.3013,walk
1737.381,0.0758,walk
2734.991,-1.4628,walk
680.271,-3.0314,unknown
1338.041,-3.9236,walk
2573.861,-2.4301,walk
2467.161,-0.9876,walk
877.001,-4.3329,unknown
2944.441,-7.2293,unknown
2945.311,-2.557,unknown
2319.651,-2.3379,walk
1203.631,-2.6774,walk
843.381,-3.6206,unknown
2661.311,-2.5639,walk
1604.771,-5.4519,trot
1510.061,1.5173,trot
1227.611,-2.782,walk
1644.851,-0.0548,trot
3766.651,-3.0172,unknown
2193.321,-3.4907,walk
1570.331,-0.887,trot
1527.051,-1.5064,walk
3556.921,-1.3406,trot
2347.371,-4.6308,walk
528.191,-1.0552,unknown
2407.431,-2.11,walk
1648.731,-3.568,walk
2400.781,-3.5171,walk
660.281,-2.8768,unknown
