raceId,driverId,lap,position,time,milliseconds,seconds,log_seconds,reciprocal_seconds
194,75,24,15,1:34.862,94862,94.862,4.552423203929475,0.01054162889249647
878,815,33,12,1:42.338,102338,102.338,4.628281060485183,0.00977154136293459
882,8,13,8,1:43.216,103216,103.216,4.636823879789886,0.009688420399937994
172,14,63,5,1:16.038,76038,76.038,4.331233215327982,0.013151319077303453
354,1,67,4,1:14.102,74102,74.102,4.305442522491109,0.013494912418018406
956,4,11,19,1:12.126,72126,72.126,4.278414589550172,0.013864625793749826
114,15,66,6,1:16.008,76008,76.008,4.330838597904449,0.013156509841069362
872,4,20,4,1:34.045,94045,94.045,4.543773391122768,0.0106332075070445
1096,815,9,2,1:30.971,90971,90.971,4.510540774408486,0.01099251409789933
905,8,17,3,1:21.385,81385,81.385,4.3991909808434615,0.012287276525158198
942,826,21,3,1:49.654,109654,109.654,4.697329953906691,0.009119594360442847
63,4,9,3,1:18.614,78614,78.614,4.364549800622549,0.012720380593787365
1104,825,38,14,1:18.498,78498,78.498,4.363073146756794,0.012739178068231037
845,24,6,20,1:35.010,95010,95.01,4.553982149218658,0.010525207872855488
1107,847,61,8,1:09.658,69658,69.658,4.243597553644266,0.014355852881219672
164,57,57,7,1:21.571,81571,81.571,4.40147380664644,0.012259258805212636
916,813,46,12,1:44.829,104829,104.829,4.652330451164952,0.009539345028570338
962,13,5,9,1:54.273,114273,114.273,4.738590322423874,0.008750973545806971
950,18,10,10,1:44.783,104783,104.783,4.651891544988412,0.009543532824981152
76,30,27,13,2:03.058,123058,123.058,4.812655788945593,0.008126249410846918
67,30,38,1,1:23.069,83069,83.069,4.419671587738315,0.012038185123210825
902,155,17,19,1:41.246,101246,101.246,4.61755319903342,0.009876933409714952
225,69,66,11,1:29.328,89328,89.328,4.492314988568005,0.011194698190936773
1076,842,15,9,1:25.716,85716,85.716,4.451039505960836,0.011666433337999908
1047,840,43,9,1:42.858,102858,102.858,4.633349396253399,0.009722141204378852
11,9,42,10,1:39.742,99742,99.742,4.602586852052488,0.010025866736179343
907,820,21,19,1:18.006,78006,78.006,4.356785746808087,0.012819526703074123
217,22,6,12,1:21.722,81722,81.722,4.403323243462962,0.012236607033601724
12,69,1,15,2:26.414,146414,146.414,4.9864382253704065,0.006829947955796578
1011,847,38,17,1:39.347,99347,99.347,4.598618772266116,0.010065729211752746
132,63,21,17,1:36.872,96872,96.872,4.573390519452065,0.01032290032207449
1007,840,39,15,1:25.477,85477,85.477,4.448247333906198,0.011699053546568082
1099,839,32,8,1:34.641,94641,94.641,4.550090785971028,0.010566245073488235
1040,830,16,3,1:40.299,100299,100.299,4.608155724828458,0.00997018913448788
1102,852,45,13,1:32.193,92193,92.193,4.523884205771441,0.010846810495373836
938,817,31,10,1:48.642,108642,108.642,4.688058073066561,0.009204543362603781
90,43,39,13,1:30.050,90050,90.05,4.500365071621965,0.01110494169905608
188,23,1,4,1:36.428,96428,96.428,4.568796615873732,0.010370431824781184
226,79,19,12,1:31.778,91778,91.778,4.519372617489333,0.010895857395018414
887,13,12,22,1:37.956,97956,97.956,4.584518398257219,0.01020866511494957
1058,817,51,15,1:09.527,69527,69.527,4.241715166336985,0.014382901606570108
112,4,29,2,1:21.814,81814,81.814,4.4044483781086115,0.012222846945510549
176,71,3,8,1:22.022,82022,82.022,4.406987503963134,0.01219185096681378
900,18,10,9,1:36.655,96655,96.655,4.571147937373655,0.010346076250581966
950,837,54,21,1:43.343,103343,103.343,4.638053552822802,0.009676514132548891
351,807,48,8,1:52.693,112693,112.693,4.72466730731547,0.008873665622532011
145,50,58,12,1:26.476,86476,86.476,4.459866918792218,0.01156390212313243
865,815,53,17,1:18.624,78624,78.624,4.364676996338768,0.01271876271876272
237,83,2,19,1:38.362,98362,98.362,4.588654550610159,0.010166527724121105
31,18,15,17,1:38.538,98538,98.538,4.590442260583479,0.010148369157076459
146,54,50,10,1:14.848,74848,74.848,4.315459390401768,0.013360410431808465
1067,849,38,17,1:35.662,95662,95.662,4.5608211454139,0.010453471597917667
128,15,62,8,1:31.850,91850,91.85,4.520156811661135,0.010887316276537834
127,15,60,9,1:28.779,88779,88.779,4.4861501355443,0.01126392502731502
351,17,60,3,1:50.253,110253,110.253,4.702777724841099,0.009070047980553816
211,44,16,4,1:57.116,117116,117.116,4.76316489662431,0.008538542983025376
41,9,22,8,1:17.726,77726,77.726,4.353189821735324,0.01286570774258292
993,822,18,2,1:21.485,81485,81.485,4.400418954227952,0.012272197336933178
154,18,4,8,1:54.994,114994,114.994,4.744879953089101,0.00869610588378524
104,11,5,6,1:26.734,86734,86.734,4.462845963775836,0.011529504000737888
70,27,69,14,1:16.437,76437,76.437,4.336466872134092,0.0130826693878619
1085,20,51,11,1:39.437,99437,99.437,4.599524277801265,0.010056618763639289
150,18,12,15,1:19.273,79273,79.273,4.372897591471664,0.012614635500107226
9,4,18,18,1:59.667,119667,119.667,4.78471288533161,0.008356522683780825
1082,842,68,14,1:18.640,78640,78.64,4.364880475838911,0.01271617497456765
26,12,23,11,2:01.114,121114,121.114,4.796732250813496,0.008256683785524382
869,808,49,17,1:22.045,82045,82.045,4.407267877227114,0.012188433176915108
881,8,13,10,1:44.550,104550,104.55,4.649665425874643,0.009564801530368245
25,15,10,3,1:17.955,77955,77.955,4.356131737128515,0.012827913539862741
939,822,46,5,1:51.480,111480,111.48,4.713845202613747,0.00897021887334051
978,826,19,18,1:35.654,95654,95.654,4.560737514144119,0.010454345871578816
219,77,17,8,1:26.945,86945,86.945,4.465275734834032,0.011501523951923632
948,830,40,11,1:33.637,93637,93.637,4.539425604518723,0.010679539071093692
981,13,12,7,1:26.805,86805,86.805,4.463664223693912,0.011520073728471861
100,11,46,11,1:24.733,84733,84.733,4.439505136169199,0.011801777347668558
48,25,22,12,1:26.626,86626,86.626,4.46160000145498,0.0115438782813474
929,817,43,6,1:39.347,99347,99.347,4.598618772266116,0.010065729211752746
342,9,17,3,1:19.185,79185,79.185,4.371786886943689,0.012628654416871882
200,56,56,3,1:14.879,74879,74.879,4.3158734773793075,0.01335487920511759
1073,839,17,18,1:30.024,90024,90.024,4.500076301447696,0.011108148938060962
845,813,52,13,1:33.575,93575,93.575,4.538763253790493,0.010686615014694095
945,4,46,17,1:48.683,108683,108.683,4.688435388152136,0.009201071004664942
882,823,34,17,1:45.541,105541,105.541,4.659099503013172,0.009474990761884008
884,822,39,13,1:32.042,92042,92.042,4.522244994613826,0.010864605288889854
29,10,25,5,1:40.189,100189,100.189,4.607058402185329,0.00998113565361467
1013,8,5,17,1:53.322,113322,113.322,4.730233323941764,0.008824411852950001
1012,846,8,20,1:40.499,100499,100.499,4.61014777720087,0.009950347764654375
347,5,23,16,1:22.206,82206,82.206,4.4092282920990264,0.012164562197406515
10,6,2,9,1:27.366,87366,87.366,4.470106190956822,0.011446100313623149
1035,842,4,7,1:33.557,93557,93.557,4.538570876216849,0.010688671077524931
995,817,43,4,1:15.655,75655,75.655,4.326183531903534,0.013217897032582117
96,15,33,5,1:32.136,92136,92.136,4.523265746366606,0.010853520882174178
61,26,62,11,1:57.139,117139,117.139,4.763361263831618,0.008536866457798001
1108,830,25,1,1:32.295,92295,92.295,4.524989968860563,0.010834823121512542
944,822,51,5,1:16.684,76684,76.684,4.339693081657803,0.013040529967137865
962,836,57,16,1:54.242,114242,114.242,4.73831900544083,0.008753348155669543
18,6,24,13,1:30.746,90746,90.746,4.508064395038549,0.011019769466422764
943,3,70,1,1:21.021,81021,81.021,4.394708380329824,0.012342479110354106
1087,846,39,12,1:54.260,114260,114.26,4.738476553296317,0.00875196919306844
58,15,62,10,1:19.219,79219,79.219,4.372216169039118,0.012623234325098778
209,55,15,8,1:31.770,91770,91.77,4.519285446830922,0.010896807235480005
973,825,19,10,1:27.676,87676,87.676,4.473648201721105,0.011405629818878599
1035,847,45,19,1:31.780,91780,91.78,4.519394408966687,0.010895619960775768
153,21,31,13,1:21.132,81132,81.132,4.396077457896541,0.012325592861016614
345,808,13,12,2:35.495,155495,155.495,5.046613576761491,0.0064310749541785905
969,841,18,15,1:31.310,91310,91.31,4.514260310628249,0.010951702989814916
1060,852,18,16,1:10.758,70758,70.758,4.259265604335888,0.014132677577093756
105,32,5,15,1:37.659,97659,97.659,4.58148181897429,0.010239711649719943
972,807,3,10,2:31.343,151343,151.343,5.019548783985194,0.00660750744996465
182,65,8,9,1:31.501,91501,91.501,4.516349901183504,0.01092884230773434
994,817,10,1,1:17.047,77047,77.047,4.344415625252106,0.012979090684906616
1077,848,56,12,1:22.246,82246,82.246,4.4097147562440515,0.012158646013179973
848,18,48,6,1:58.371,118371,118.371,4.773823760016626,0.00844801513884313
45,25,21,6,1:35.528,95528,95.528,4.559419398231084,0.010468134997068921
1039,825,2,12,2:22.262,142262,142.262,4.957670427972186,0.007029283997132052
31,16,2,17,2:16.301,136301,136.301,4.9148656754327265,0.0073367033257276185
97,44,60,10,1:16.203,76203,76.203,4.33340083199636,0.013122842932692938
907,824,4,17,1:16.704,76704,76.704,4.339953858251974,0.01303712974551523
959,822,27,7,1:22.412,82412,82.412,4.411731057380213,0.012134155220113576
10,2,50,12,1:44.834,104834,104.834,4.652378146752643,0.00953889005475323
352,17,50,2,1:34.815,94815,94.815,4.551927624592372,0.010546854400675
107,47,64,16,1:15.995,75995,75.995,4.3306675486484245,0.013158760444766103
16,18,24,5,1:15.313,75313,75.313,4.321652762667085,0.013277920146588238
149,30,45,1,1:19.339,79339,79.339,4.373729811023894,0.01260414172096951
865,10,45,16,1:20.584,80584,80.584,4.38930011864038,0.012409411297528044
90,14,4,10,1:28.195,88195,88.195,4.479550272063441,0.01133851125347242
145,35,18,7,1:23.444,83444,83.444,4.42417574818204,0.011984085134940798
867,13,20,8,1:48.386,108386,108.386,4.685698929373286,0.009226283837395974
1053,846,15,6,1:30.113,90113,90.113,4.501064438335084,0.011097177987637744
1017,154,6,17,1:38.525,98525,98.525,4.590310323081067,0.010149708195889368
981,8,17,11,1:25.804,85804,85.804,4.452065625453856,0.011654468323155098
109,23,46,4,1:39.257,99257,99.257,4.597712446047503,0.01007485618142801
1036,841,64,16,1:23.160,83160,83.16,4.420766462989812,0.012025012025012025
884,821,54,10,1:33.859,93859,93.859,4.541793656143737,0.010654279291277342
129,14,60,6,1:11.614,71614,71.614,4.271290585579216,0.013963750104728124
33,18,28,12,1:22.144,82144,82.144,4.40847380468873,0.01217374366965329
105,17,46,10,1:36.035,96035,96.035,4.564712708356815,0.010412870307700318
124,62,32,6,1:35.524,95524,95.524,4.559377524814416,0.01046857334282484
905,828,16,17,1:23.622,83622,83.622,4.426306643365428,0.011958575494487096
23,6,31,9,1:34.894,94894,94.894,4.552760479170346,0.010538074061584505
231,69,40,12,1:27.983,87983,87.983,4.477143613998014,0.011365832035734175
76,17,76,3,1:18.630,78630,78.63,4.364753306003425,0.012717792191275595
65,30,29,7,1:41.657,101657,101.657,4.621604401451512,0.009837000895167081
854,5,44,16,1:58.172,118172,118.172,4.772141190277102,0.008462241478522831
966,815,62,10,1:23.607,83607,83.607,4.426127248642739,0.011960720992261413
869,814,63,11,1:20.057,80057,80.057,4.382738880966261,0.01249110009118503
896,16,16,5,1:32.199,92199,92.199,4.523949284516745,0.010846104621525179
916,3,50,2,1:42.591,102591,102.591,4.630750209590861,0.009747443732881052
998,838,45,13,1:34.239,94239,94.239,4.545834108641545,0.010611318031812731
205,57,25,1,1:20.450,80450,80.45,4.387635873438392,0.01243008079552517
41,4,70,7,1:21.054,81054,81.054,4.3951155992155995,0.012337454042983689
109,43,21,10,1:39.493,99493,99.493,4.600087289930952,0.01005095835887952
955,830,37,10,1:48.089,108089,108.089,4.682954961835681,0.009251635226526288
191,55,17,12,1:36.295,96295,96.295,4.567416396376175,0.010384755179396646
986,13,36,10,1:22.130,82130,82.13,4.408303357752101,0.012175818823815902
36,24,45,16,1:47.535,107535,107.535,4.677816375972945,0.009299297903008322
910,826,66,14,1:35.397,95397,95.397,4.558047131418908,0.01048250993217816
21,2,65,9,1:22.560,82560,82.56,4.4135253017332525,0.012112403100775193
847,39,24,19,2:07.457,127457,127.457,4.847779052813296,0.007845783283774136
1017,8,12,10,1:37.709,97709,97.709,4.581993673536876,0.01023447174774074
34,9,43,6,1:37.567,97567,97.567,4.580539321491267,0.010249367101581478
976,20,32,1,1:45.312,105312,105.312,4.656927372760929,0.009495594044363415
888,814,15,14,1:38.733,98733,98.733,4.592419237062658,0.010128325889013804
212,77,37,10,1:26.055,86055,86.055,4.4549866267219445,0.011620475277438846
1024,8,22,15,1:49.801,109801,109.801,4.698669636502081,0.00910738517864136
212,55,30,2,1:24.572,84572,84.572,4.437603242562623,0.011824244430780872
932,1,54,1,1:18.031,78031,78.031,4.357106183630301,0.01281541951275775
150,2,6,9,1:18.434,78434,78.434,4.362257506816589,0.01274957288930821
70,37,38,10,1:14.226,74226,74.226,4.30711449310875,0.013472368172877428
1012,847,16,12,1:42.036,102036,102.036,4.625325692191656,0.009800462581833862
115,2,41,12,1:17.839,77839,77.839,4.354642590929863,0.012847030408920978
1104,842,10,7,1:18.310,78310,78.31,4.360675308762846,0.012769761205465458
1011,815,15,11,1:37.920,97920,97.92,4.584150818764016,0.010212418300653595
955,20,27,3,1:48.269,108269,108.269,4.684618871111316,0.009236254144769047
31,2,41,5,1:34.451,94451,94.451,4.548081181503964,0.010587500397031265
974,838,56,10,1:17.095,77095,77.095,4.345038427623316,0.012971009793112394
343,811,34,20,1:34.676,94676,94.676,4.550460536182565,0.010562338924331404
961,8,42,4,1:26.287,86287,86.287,4.45767894943074,0.01158923128628878
903,13,33,17,1:43.179,103179,103.179,4.636465343968801,0.009691894668488743
975,154,12,13,1:45.419,105419,105.419,4.65794288551601,0.009485956042079701
995,828,21,17,1:18.426,78426,78.426,4.3621555050314695,0.012750873434830286
953,837,74,15,1:24.657,84657,84.657,4.4386077986038215,0.011812372278724738
144,35,6,10,1:29.817,89817,89.817,4.497774266968195,0.011133749735573444
23,9,43,3,1:28.801,88801,88.801,4.486397911195978,0.01126113444668416
887,823,17,21,1:46.579,106579,106.579,4.668886494201238,0.00938271141594498
81,35,57,14,1:23.822,83822,83.822,4.428695502866047,0.011930042232349503
88,22,6,18,2:33.778,153778,153.778,5.035510003927056,0.00650288077618385
1098,842,47,9,1:36.120,96120,96.12,4.565597410868269,0.010403662089055347
966,1,44,1,1:22.871,82871,82.871,4.417285181881182,0.012066947424310073
1082,840,7,15,1:19.559,79559,79.559,4.376498884776563,0.012569288201209165
349,155,5,14,1:56.871,116871,116.871,4.761070762424246,0.008556442573435668
901,3,7,2,1:47.743,107743,107.743,4.679748761676311,0.009281345423832639
875,1,4,4,1:46.713,106713,106.713,4.670142987812153,0.009370929502497353
208,63,23,17,1:21.621,81621,81.621,4.40208658180165,0.012251748937160781
1020,9,40,15,1:45.473,105473,105.473,4.658454995991326,0.009481099428289704
988,843,12,18,1:46.568,106568,106.568,4.668783279049162,0.009383679903911119
895,17,24,2,1:37.797,97797,97.797,4.582893901723663,0.010225262533615552
876,1,32,2,1:34.073,94073,94.073,4.544071076620241,0.010630042626470933
1060,854,25,18,1:13.231,73231,73.231,4.293618828585368,0.013655419153090905
49,4,36,4,1:49.368,109368,109.368,4.694718342629691,0.009143442323165826
19,4,29,9,1:37.973,97973,97.973,4.584691930506581,0.010206893736029314
131,2,51,14,1:48.267,108267,108.267,4.684600398432408,0.00923642476470208
1055,832,33,7,1:22.956,82956,82.956,4.418310346751128,0.012054583152514585
898,807,23,5,1:44.218,104218,104.218,4.646484859122304,0.009595271450229327
968,3,51,2,1:46.182,106182,106.182,4.665154602917103,0.009417792092821758
1013,832,17,9,1:47.621,107621,107.621,4.678615795971272,0.009291866828964608
1002,20,32,8,1:23.068,83068,83.068,4.419659549480732,0.012038330042856456
851,10,63,17,1:32.738,92738,92.738,4.529778313063315,0.010783066272725312
912,1,34,1,1:28.827,88827,88.827,4.486690657837112,0.011257838269895414
975,822,8,3,1:17.615,77615,77.615,4.351760707478407,0.012884107453456162
989,839,33,12,1:30.518,90518,90.518,4.505548725956511,0.011047526458825868
208,56,66,17,1:20.717,80717,80.717,4.390949209844292,0.012388963910948127
903,824,54,17,1:45.725,105725,105.725,4.6608413833585525,0.009458500827618822
172,48,59,13,1:17.131,77131,77.131,4.345505274985678,0.0129649557246762
42,21,21,13,1:16.132,76132,76.132,4.332468675825537,0.013135081174801659
354,67,18,8,1:21.997,81997,81.997,4.406682661229139,0.012195568130541361
872,819,27,20,1:31.439,91439,91.439,4.515672083293772,0.010936252583689673
221,44,65,6,1:22.014,82014,82.014,4.406889964398571,0.012193040212646621
81,31,60,1,1:22.110,82110,82.11,4.4080598117206975,0.01217878455730118
1093,1,28,2,1:41.523,101523,101.523,4.620285373796938,0.009849984732523664
230,77,26,4,1:52.355,112355,112.355,4.721663501423896,0.008900360464598816
1082,4,65,7,1:17.272,77272,77.272,4.347331664876995,0.01294129827104255
70,27,1,17,1:29.699,89699,89.699,4.49645962073059,0.011148396303191786
977,826,38,17,1:10.126,70126,70.126,4.250293623990738,0.014260046202549696
1004,844,10,6,1:45.660,105660,105.66,4.6602263917361695,0.00946431951542684
9,2,18,10,1:37.869,97869,97.869,4.583629849749888,0.010217740040257895
966,839,26,21,1:26.064,86064,86.064,4.455091205530887,0.011619260085517755
144,59,38,13,1:29.105,89105,89.105,4.489815449625063,0.011222714774704
189,56,27,4,1:42.764,102764,102.764,4.632435097136104,0.009731034214316299
856,153,38,8,2:01.360,121360,121.36,4.798761335040277,0.008239947264337508
201,71,21,4,1:47.825,107825,107.825,4.6805095425339065,0.009274287039183862
950,837,2,18,1:45.757,105757,105.757,4.661144009589099,0.009455638870240268
205,50,56,13,1:24.477,84477,84.477,4.436479307963771,0.011837541579364797
877,4,32,3,1:46.699,106699,106.699,4.670011786192561,0.009372159064283639
879,818,60,9,1:27.851,87851,87.851,4.475642197607591,0.011382909699377355
982,840,47,8,1:49.298,109298,109.298,4.694078096753413,0.009149298248824315
149,4,3,21,1:23.080,83080,83.08,4.419803999007912,0.01203659123736158
956,836,62,12,1:10.868,70868,70.868,4.260818991738191,0.01411074109612237
11,8,11,4,1:40.506,100506,100.506,4.610217427209604,0.00994965474698028
55,14,52,10,1:29.054,89054,89.054,4.489242927311926,0.011229141868978372
49,3,27,6,1:50.601,110601,110.601,4.70592913063868,0.00904150957043788
237,55,27,1,1:27.847,87847,87.847,4.475596664932198,0.01138342800550958
40,8,77,8,1:21.367,81367,81.367,4.398969785404101,0.012289994715302273
1045,817,42,8,1:33.659,93659,93.659,4.539660526781891,0.01067703050427615
1042,847,22,9,1:23.226,83226,83.226,4.421559799009208,0.012015475933001707
844,3,48,6,1:30.889,90889,90.889,4.509638981759668,0.01100243153736976
83,11,21,7,1:26.450,86450,86.45,4.4595662121293,0.01156737998843262
915,817,29,8,1:43.506,103506,103.506,4.639629582039662,0.009661275674840106
72,2,9,7,1:37.329,97329,97.329,4.578096992061158,0.010274430025994308
1080,848,30,18,1:53.564,113564,113.564,4.732366554654738,0.008805607410799197
930,3,59,1,1:30.062,90062,90.062,4.5004983220441215,0.011103462059470144
184,63,24,3,2:06.554,126554,126.554,4.840669094551664,0.007901765254357823
1104,1,57,4,1:43.278,103278,103.278,4.637424381517424,0.00968260423323457
858,22,32,10,1:46.404,106404,106.404,4.66724317018587,0.009398142926957634
218,35,29,6,1:56.427,116427,116.427,4.757264467161949,0.008589072981353122
1080,842,33,12,1:25.049,85049,85.049,4.443227560983212,0.011757927782807556
127,15,7,7,1:28.522,88522,88.522,4.483251108691735,0.011296626827229388
951,835,33,13,1:43.183,103183,103.183,4.636504110796032,0.00969151895176531
106,10,1,17,1:46.764,106764,106.764,4.670620791050631,0.009366453111535724
999,815,28,11,1:20.023,80023,80.023,4.382314093353676,0.012496407282906165
120,15,16,10,1:43.876,103876,103.876,4.643197880084749,0.009626862797951403
915,20,14,6,1:45.110,105110,105.11,4.655007420835263,0.009513842641042717
959,822,28,7,1:22.000,82000,82.0,4.406719247264253,0.012195121951219513
999,154,24,12,1:19.076,79076,79.076,4.3704094153336905,0.012646062016288128
224,50,1,11,1:50.930,110930,110.93,4.708899371750569,0.009014693951140358
987,842,1,10,2:06.060,126060,126.06,4.836757984084964,0.007932730445819451
949,822,39,10,1:37.313,97313,97.313,4.57793258766708,0.010276119326297616
929,822,17,5,1:38.656,98656,98.656,4.59163905170374,0.010136230943885825
1028,815,18,12,1:42.375,102375,102.375,4.628642542173234,0.009768009768009768
351,13,40,10,1:52.764,112764,112.764,4.725297139188928,0.008868078464758256
1107,4,64,6,1:09.564,69564,69.564,4.242247192145596,0.014375251566902423
961,828,26,18,1:29.912,89912,89.912,4.498831414215966,0.011121985941809768
1028,822,1,1,1:40.317,100317,100.317,4.608335172131247,0.009968400171456483
1108,822,12,17,1:34.541,94541,94.541,4.549033602842468,0.010577421436202283
149,21,26,16,1:20.729,80729,80.729,4.391097866361296,0.012387122347607428
153,15,73,10,1:19.516,79516,79.516,4.3759582592722746,0.012576085316162784
1064,20,5,15,1:18.010,78010,78.01,4.356837023600222,0.01281886937572106
878,1,31,2,1:41.632,101632,101.632,4.621358446184616,0.009839420654911838
977,815,51,7,1:09.029,69029,69.029,4.23452670615529,0.01448666502484463
858,811,23,16,1:48.678,108678,108.678,4.688389381738834,0.009201494322678003
990,843,4,10,1:54.140,114140,114.14,4.737425765108562,0.008761170492377781
195,25,34,4,1:26.857,86857,86.857,4.464263088172659,0.011513176830882946
91,18,34,3,1:36.195,96195,96.195,4.566377381268936,0.01039555070429856
355,67,17,8,1:46.380,106380,106.38,4.667017589314171,0.009400263207369806
1006,830,6,6,1:41.329,101329,101.329,4.618372648665847,0.009868843075526258
1022,807,9,13,1:51.683,111683,111.683,4.715664501117456,0.0089539142035941
888,1,18,5,1:39.172,99172,99.172,4.596855716384006,0.010083491308030493
348,29,58,19,1:29.836,89836,89.836,4.497985785841476,0.011131394986419699
940,829,3,16,1:44.760,104760,104.76,4.651672019639511,0.009545628102329133
18,4,33,8,1:31.301,91301,91.301,4.514161740443459,0.010952782554407948
85,30,51,10,1:28.407,88407,88.407,4.481951152028952,0.011311321501691044
348,1,7,5,1:27.523,87523,87.523,4.47190161596554,0.011425568136375581
868,155,41,12,1:36.103,96103,96.103,4.565420532970781,0.010405502429684818
193,56,26,3,1:29.245,89245,89.245,4.491385396681471,0.011205109529945655
173,63,6,15,1:43.314,103314,103.314,4.6377728945321035,0.00967923030760594
1010,832,6,14,1:31.054,91054,91.054,4.511452737114186,0.010982493904715883
8,8,22,7,1:23.159,83159,83.159,4.420754437905487,0.012025156627665075
987,8,19,3,1:13.812,73812,73.812,4.301521320014231,0.013547932585487456
1075,855,3,16,1:37.564,97564,97.564,4.58050857291723,0.010249682259849945
144,18,32,14,1:29.718,89718,89.718,4.496671417829762,0.011146035355224146
186,48,10,19,1:59.900,119900,119.9,4.786658062033468,0.008340283569641367
223,14,39,3,1:24.530,84530,84.53,4.437106500940836,0.011830119484206791
1013,842,11,7,1:48.110,108110,108.11,4.68314922730468,0.009249838127832763
166,55,2,14,1:22.293,82293,82.293,4.410286049387663,0.012151701845843509
108,18,40,11,1:35.864,95864,95.864,4.562930520380216,0.01043144454644079
876,813,2,11,1:35.780,95780,95.78,4.562053894914463,0.01044059302568386
1098,830,28,1,1:37.651,97651,97.651,4.581399897925655,0.0102405505319966
155,21,19,14,1:28.382,88382,88.382,4.4816683290007475,0.011314521056323685
881,821,37,13,2:01.594,121594,121.594,4.800687626209442,0.008224090004441008
1032,849,56,17,1:09.743,69743,69.743,4.244817057242292,0.014338356537573664
932,828,17,11,1:19.962,79962,79.962,4.381551521825645,0.012505940321652784
879,5,35,15,1:20.704,80704,80.704,4.390788140342455,0.01239095955590801
857,30,17,6,1:33.424,93424,93.424,4.537148271541182,0.010703887651995203
6,16,45,16,1:16.939,76939,76.939,4.3430129000990565,0.012997309556921719
883,813,47,13,1:39.505,99505,99.505,4.6002078941582765,0.010049746243907342
1109,817,56,13,1:26.761,86761,86.761,4.46315721194112,0.011525916022175862
150,30,46,2,1:37.891,97891,97.891,4.5838546147692245,0.010215443707797447
350,67,37,12,1:26.725,86725,86.725,4.4627421928558135,0.011530700490054772
1036,846,35,10,1:23.330,83330,83.33,4.422808628394115,0.012000480019200769
883,817,54,16,1:41.464,101464,101.464,4.619704055765128,0.009855712370890168
1086,854,25,17,1:25.712,85712,85.712,4.450992839138604,0.011666977786074294
861,811,10,23,2:54.892,174892,174.892,5.164168640555332,0.0057178144226151
217,23,40,8,1:20.534,80534,80.534,4.388679455503982,0.012417115752353042
17,2,47,5,1:41.601,101601,101.601,4.621053377615629,0.009842422810799107
142,50,26,4,1:51.527,111527,111.527,4.714266714052365,0.008966438620244425
342,24,21,13,1:19.048,79048,79.048,4.370055262892662,0.012650541443173768
1022,1,5,3,1:50.799,110799,110.799,4.707717749001698,0.009025352214370166
15,154,46,16,2:39.555,159555,159.555,5.072388690371738,0.0062674312932844475
1094,849,65,18,1:23.894,83894,83.894,4.42955409720914,0.011919803561637304
936,826,69,2,1:27.917,87917,87.917,4.476393187584173,0.011374364457385943
883,807,48,13,1:39.137,99137,99.137,4.59650273189653,0.010087051252307412
59,14,16,7,1:18.188,78188,78.188,4.359116183090776,0.012789686396889547
34,4,36,4,1:41.823,101823,101.823,4.623236011799718,0.009820963829390216
22,16,57,16,1:29.223,89223,89.223,4.491138853882634,0.01120787240958049
1021,848,9,12,1:24.509,84509,84.509,4.4368580375672,0.01183305920079518
878,30,32,14,1:43.056,103056,103.056,4.635272529804535,0.009703462195311287
933,20,53,4,1:12.018,72018,72.018,4.276916087771263,0.013885417534505262
173,18,11,7,1:41.586,101586,101.586,4.62090573037415,0.009843876124662847
219,30,10,7,1:27.417,87417,87.417,4.470689771756413,0.011439422537950284
1053,853,48,17,1:23.412,83412,83.412,4.423792183906349,0.01198868268354673
994,154,19,18,1:21.101,81101,81.101,4.395695291501575,0.012330304188604334
56,34,9,20,1:35.549,95549,95.549,4.559639204906764,0.010465834283979947
83,2,28,8,1:45.922,105922,105.922,4.662702974185659,0.009440909348388437
100,15,7,5,1:21.079,81079,81.079,4.395423988009961,0.012333649897014024
1018,830,42,4,1:08.659,68659,68.659,4.2291522234026555,0.014564732955621258
130,59,62,13,1:36.925,96925,96.925,4.573937483556993,0.010317255610007738
193,49,63,10,1:32.483,92483,92.483,4.527024843844287,0.01081279802774564
1106,848,42,7,1:17.724,77724,77.724,4.3531640899887805,0.012866038803973032
1086,825,4,10,1:25.178,85178,85.178,4.444743184529347,0.011740120688440677
141,54,43,9,1:35.603,95603,95.603,4.560204200318128,0.010459922805769694
109,8,30,1,1:37.738,97738,97.738,4.582290429181248,0.010231435061081668
933,1,23,2,1:12.412,72412,72.412,4.282372031513697,0.013809865768104734
204,63,1,19,1:43.655,103655,103.655,4.641068076985076,0.009647387969707202
1034,154,20,5,1:32.647,92647,92.647,4.528796572282681,0.01079365764676676
24,20,26,9,1:21.007,81007,81.007,4.394535570691554,0.012344612194007924
1031,8,20,13,1:10.727,70727,70.727,4.258827395331456,0.014138872000791777
991,807,53,6,1:37.198,97198,97.198,4.576750135123015,0.010288277536574828
3,21,47,16,1:58.091,118091,118.091,4.771455513694874,0.008468045829064028
107,21,13,15,1:13.651,73651,73.651,4.299337720548981,0.013577548166352121
345,811,6,23,1:47.494,107494,107.494,4.6774350320565725,0.009302844809942881
54,23,35,10,1:36.102,96102,96.102,4.565410127414214,0.010405610705292292
